1,1635,00:05.3,27:20.6,252,366,25577
2,132,00:11.3,02:23.5,314,3242,34377
3,3337,00:20.6,55:58.5,3142,3384,30496
4,436,00:21.7,07:38.6,308,3690,28866
5,8457,00:27.3,21:25.3,345,380,20943
6,3326,00:29.3,55:56.2,3142,3384,21693
7,233,00:27.3,04:20.7,3526,3532,29789
8,285,00:31.4,05:17.4,358,405,32861
9,1127,00:31.0,19:18.5,285,405,25039
10,423,00:42.2,07:45.7,319,426,20508
11,327,00:45.2,06:12.3,3509,3518,31497
12,541,00:45.8,09:47.0,3077,3059,21632
13,535,01:12.2,10:07.3,500,493,21698
14,147,01:16.2,03:43.9,3134,3376,32191
15,454,01:19.1,08:53.8,479,458,16773
16,893,01:20.0,16:13.4,3558,3396,17360
17,1138,01:29.2,20:27.9,3107,372,18964
18,401,01:32.9,08:14.4,350,473,29786
19,353,01:46.9,07:40.3,3384,3389,25552
20,252,02:03.8,06:15.9,350,308,32175
21,1585,02:07.5,28:33.1,302,388,26483
22,278,02:19.8,06:58.5,236,473,33686
23,213,02:22.8,05:56.2,379,334,29390
24,1250,02:21.3,23:12.3,438,383,33149
25,622,02:30.2,12:52.5,3561,3561,27107
26,199,02:34.1,05:53.9,261,239,15745
27,141,02:40.5,05:01.5,3002,363,34042
28,107,02:40.2,04:27.5,453,470,26401
29,447,02:42.7,10:10.5,3256,238,16726
30,1172,02:45.6,22:18.1,3126,3597,32782
31,1031,02:53.5,20:04.9,532,403,24913
32,1028,02:53.7,20:02.1,532,403,32221
33,318,02:53.3,08:12.2,3090,481,21338
34,363,02:55.2,08:58.9,412,319,17716
35,366,02:56.6,09:03.3,317,356,33931
36,372,02:57.7,09:10.0,293,433,32520
37,304,02:57.8,08:02.7,236,317,15747
38,2968,03:06.5,52:35.1,3556,3581,34394
39,769,03:14.3,16:03.8,504,307,29156
40,543,03:18.0,12:21.1,3364,274,28749
41,1884,03:18.5,34:43.5,336,3124,25042
42,409,03:20.5,10:10.3,3611,3115,29975
43,764,03:36.6,16:20.6,3521,3539,25970
44,347,03:40.3,09:27.7,3526,3532,17996
45,326,03:40.6,09:07.1,3526,3532,33723
46,2146,03:42.0,39:28.1,251,450,29857
47,369,03:52.7,10:02.3,3256,238,18612
48,1500,03:55.1,28:55.2,3602,3526,17845
49,875,03:56.0,18:32.0,151,3659,34020
50,1058,03:57.7,21:36.2,3223,236,29908
