tripduration,starttime,stoptime,start station id,start station name,start station latitude,start station longitude,end station id,end station name,end station latitude,end station longitude,bikeid,usertype,birth year,gender
2968,03:06.5,52:35.1,3556,24 St & 41 Ave,40.7527085,-73.9397405,3581,Underhill Ave & Lincoln Pl,40.6740123,-73.9671457,34394,Customer,1981,1
769,03:14.3,16:03.8,504,1 Ave & E 16 St,40.73221853,-73.98165557,307,Canal St & Rutgers St,40.71427487,-73.98990025,29156,Subscriber,1992,1
543,03:18.0,12:21.1,3364,Carroll St & 5 Ave,40.6751622,-73.9814832,274,Lafayette Ave & Fort Greene Pl,40.68691865,-73.976682,28749,Subscriber,1988,2
1884,03:18.5,34:43.5,336,Sullivan St & Washington Sq,40.73047747,-73.99906065,3124,46 Ave & 5 St,40.74731,-73.95451,25042,Subscriber,1989,1
409,03:20.5,10:10.3,3611,Vernon Blvd & 47 Rd,40.7449067,-73.9534573,3115,India St & Manhattan Ave,40.73232194,-73.9550858,29975,Subscriber,1984,1
764,03:36.6,16:20.6,3521,Lenox Ave & W 111 St,40.7987859,-73.9523,3539,W 116 St & Amsterdam Ave,40.8067581,-73.9607082,25970,Customer,1969,0
347,03:40.3,09:27.7,3526,31 St & 23 Ave,40.7747878,-73.9125551,3532,Ditmars Blvd & 19 St,40.78145,-73.9183302,17996,Subscriber,1988,2
326,03:40.6,09:07.1,3526,31 St & 23 Ave,40.7747878,-73.9125551,3532,Ditmars Blvd & 19 St,40.78145,-73.9183302,33723,Subscriber,1983,1
2146,03:42.0,39:28.1,251,Mott St & Prince St,40.72317958,-73.99480012,450,W 49 St & 8 Ave,40.76227205,-73.98788205,29857,Subscriber,1965,1
369,03:52.7,10:02.3,3256,Pier 40 - Hudson River Park,40.72771408,-74.01129574,238,Bank St & Washington St,40.7361967,-74.00859207,18612,Customer,1969,0
1500,03:55.1,28:55.2,3602,31 Ave & 34 St,40.763154,-73.920827,3526,31 St & 23 Ave,40.7747878,-73.9125551,17845,Customer,1994,1
875,03:56.0,18:32.0,151,Cleveland Pl & Spring St,40.72210379,-73.99724901,3659,W 17 St & 9 Ave,40.74294892,-74.00413692,34020,Subscriber,1990,2
1058,03:57.7,21:36.2,3223,E 55 St & 3 Ave,40.75899656,-73.96865398,236,St Marks Pl & 2 Ave,40.7284186,-73.98713956,29908,Subscriber,1996,1
